t_id,s_id,latitude,longitude,Availability,street,city,zipcode,model,x,y
S1-T1,S1,48.855667,2.354089,0,4 PLACE SAINT GERVAIS,Paris,75004,"T3, E/F, CHAdeMO, Combo, T2",7263.558638,4527.05044
S1-T2,S1,48.855667,2.354089,1,4 PLACE SAINT GERVAIS,Paris,75004,E/F,7263.558638,4527.05044
S1-T3,S1,48.855667,2.354089,0,4 PLACE SAINT GERVAIS,Paris,75004,"E/F, CHAdeMO, T2, T3, Combo",7263.558638,4527.05044
S10-T1,S10,48.86424,2.397724,1,13 AVENUE DU PÈRE LACHAISE,Paris,75020,"Combo, T3, T2, CHAdeMO, E/F",10462.15163,5481.3968
S10-T2,S10,48.86424,2.397724,1,13 AVENUE DU PÈRE LACHAISE,Paris,75020,E/F,10462.15163,5481.3968
S10-T3,S10,48.86424,2.397724,0,13 AVENUE DU PÈRE LACHAISE,Paris,75020,"CHAdeMO, E/F, Combo, T3, T2",10462.15163,5481.3968
S11-T1,S11,48.861016,2.28308,1,24 AVENUE PAUL DOUMER,Paris,75016,"T2, CHAdeMO, T3, E/F, Combo",2058.358915,5122.50112
S11-T2,S11,48.861016,2.28308,1,24 AVENUE PAUL DOUMER,Paris,75016,E/F,2058.358915,5122.50112
S11-T3,S11,48.861016,2.28308,0,24 AVENUE PAUL DOUMER,Paris,75016,"T2, E/F, CHAdeMO, T3, Combo",2058.358915,5122.50112
S12-T1,S12,48.824388,2.336857,0,46 AVENUE REILLE,Paris,75014,"Combo, T2, CHAdeMO, T3, E/F",6000.394791,1045.07216
S12-T2,S12,48.824388,2.336857,1,46 AVENUE REILLE,Paris,75014,E/F,6000.394791,1045.07216
S12-T3,S12,48.824388,2.336857,1,46 AVENUE REILLE,Paris,75014,"Combo, T2, E/F, CHAdeMO, T3",6000.394791,1045.07216
S13-T1,S13,48.88264,2.335728,1,31 BOULEVARD DE CLICHY,Paris,75009,"T2, Combo, CHAdeMO, T3, E/F",5917.635275,7529.6848
S13-T2,S13,48.88264,2.335728,1,31 BOULEVARD DE CLICHY,Paris,75009,E/F,5917.635275,7529.6848
S13-T3,S13,48.88264,2.335728,1,31 BOULEVARD DE CLICHY,Paris,75009,"T2, T3, Combo, CHAdeMO, E/F",5917.635275,7529.6848
S14-T1,S14,48.840977,2.317465,0,43 BOULEVARD DE VAUGIRARD,Paris,75015,"E/F, CHAdeMO, T3, Combo, T2",4578.895643,2891.75964
S14-T2,S14,48.840977,2.317465,1,43 BOULEVARD DE VAUGIRARD,Paris,75015,E/F,4578.895643,2891.75964
S14-T3,S14,48.840977,2.317465,1,43 BOULEVARD DE VAUGIRARD,Paris,75015,"T3, E/F, T2, CHAdeMO, Combo",4578.895643,2891.75964
S15-T1,S15,48.846295,2.3748774,0,2 Rue Abel,Paris,75012,"E/F, T3, Combo, CHAdeMO, T2",8787.418627,3483.7594
S15-T2,S15,48.846295,2.3748774,1,2 Rue Abel,Paris,75012,E/F,8787.418627,3483.7594
S15-T3,S15,48.846295,2.3748774,1,2 Rue Abel,Paris,75012,"E/F, Combo, CHAdeMO, T2, T3",8787.418627,3483.7594
S16-T1,S16,48.889731,2.33891,1,103 RUE CAULAINCOURT,Paris,75018,"T3, T2, Combo, CHAdeMO, E/F",6150.886631,8319.05492
S16-T2,S16,48.889731,2.33891,1,103 RUE CAULAINCOURT,Paris,75018,E/F,6150.886631,8319.05492
S16-T3,S16,48.889731,2.33891,0,103 RUE CAULAINCOURT,Paris,75018,"T2, CHAdeMO, E/F, T3, Combo",6150.886631,8319.05492
S17-T1,S17,48.8452653,2.4112383,1,4 Rue Changarnier,Paris,75012,"T3, T2, Combo, CHAdeMO, E/F",11452.7955,3369.133196
S17-T2,S17,48.8452653,2.4112383,1,4 Rue Changarnier,Paris,75012,E/F,11452.7955,3369.133196
S17-T3,S17,48.8452653,2.4112383,1,4 Rue Changarnier,Paris,75012,"CHAdeMO, T3, Combo, E/F, T2",11452.7955,3369.133196
S18-T1,S18,48.846761,2.268339,0,2 RUE CHARDON LAGACHE,Paris,75016,"E/F, T3, CHAdeMO, T2, Combo",977.7937882,3535.63452
S18-T2,S18,48.846761,2.268339,1,2 RUE CHARDON LAGACHE,Paris,75016,E/F,977.7937882,3535.63452
S18-T3,S18,48.846761,2.268339,1,2 RUE CHARDON LAGACHE,Paris,75016,"Combo, T2, E/F, T3, CHAdeMO",977.7937882,3535.63452
S19-T1,S19,48.877409,2.392178,1,27 RUE DE CRIMEE,Paris,75019,"T2, CHAdeMO, T3, E/F, Combo",10055.61109,6947.36988
S19-T2,S19,48.877409,2.392178,1,27 RUE DE CRIMEE,Paris,75019,E/F,10055.61109,6947.36988
S19-T3,S19,48.877409,2.392178,0,27 RUE DE CRIMEE,Paris,75019,"E/F, T2, Combo, T3, CHAdeMO",10055.61109,6947.36988
S2-T1,S2,48.878897,2.355064,1,137 RUE LA FAYETTE,Paris,75010,"CHAdeMO, T3, Combo, E/F, T2",7335.029434,7113.01404
S2-T2,S2,48.878897,2.355064,1,137 RUE LA FAYETTE,Paris,75010,E/F,7335.029434,7113.01404
S2-T3,S2,48.878897,2.355064,1,137 RUE LA FAYETTE,Paris,75010,"CHAdeMO, Combo, E/F, T3, T2",7335.029434,7113.01404
S20-T1,S20,48.882718,2.319768,1,81 RUE DE ROME,Paris,75017,"T2, CHAdeMO, E/F, Combo, T3",4747.713327,7538.36776
S20-T2,S20,48.882718,2.319768,1,81 RUE DE ROME,Paris,75017,E/F,4747.713327,7538.36776
S20-T3,S20,48.882718,2.319768,0,81 RUE DE ROME,Paris,75017,"T2, CHAdeMO, Combo, E/F, T3",4747.713327,7538.36776
S21-T1,S21,48.8260387,2.3581456,1,145 Rue de Tolbiac,Paris,75013,"T3, T2, E/F, CHAdeMO, Combo",7560.92113,1228.828084
S21-T2,S21,48.8260387,2.3581456,1,145 Rue de Tolbiac,Paris,75013,E/F,7560.92113,1228.828084
S21-T3,S21,48.8260387,2.3581456,1,145 Rue de Tolbiac,Paris,75013,"T3, Combo, T2, E/F, CHAdeMO",7560.92113,1228.828084
S22-T1,S22,48.841529,2.298576,1,170 RUE LECOURBE,Paris,75015,"T2, Combo, CHAdeMO, T3, E/F",3194.268095,2953.20828
S22-T2,S22,48.841529,2.298576,0,170 RUE LECOURBE,Paris,75015,E/F,3194.268095,2953.20828
S22-T3,S22,48.841529,2.298576,1,170 RUE LECOURBE,Paris,75015,"E/F, T2, T3, Combo, CHAdeMO",3194.268095,2953.20828
S23-T1,S23,48.865358,2.3779388,1,94 Rue Saint-Maur,Paris,75011,"E/F, CHAdeMO, T3, Combo, T2",9011.829595,5605.85256
S23-T2,S23,48.865358,2.3779388,0,94 Rue Saint-Maur,Paris,75011,E/F,9011.829595,5605.85256
S23-T3,S23,48.865358,2.3779388,1,94 Rue Saint-Maur,Paris,75011,"T3, E/F, CHAdeMO, T2, Combo",9011.829595,5605.85256
S24-T1,S24,48.841742,2.375639,1,20 RUE VILLIOT,Paris,75012,"CHAdeMO, E/F, T2, T3, Combo",8843.246481,2976.91944
S24-T2,S24,48.841742,2.375639,0,20 RUE VILLIOT,Paris,75012,E/F,8843.246481,2976.91944
S24-T3,S24,48.841742,2.375639,1,20 RUE VILLIOT,Paris,75012,"CHAdeMO, Combo, T2, T3, E/F",8843.246481,2976.91944
S25-T1,S25,48.89311,2.34066,1,110 RUE ORDENER,Paris,75018,"Combo, T2, T3, E/F, CHAdeMO",6279.167546,8695.2052
S25-T2,S25,48.89311,2.34066,1,110 RUE ORDENER,Paris,75018,E/F,6279.167546,8695.2052
S25-T3,S25,48.89311,2.34066,1,110 RUE ORDENER,Paris,75018,"Combo, CHAdeMO, T3, E/F, T2",6279.167546,8695.2052
S26-T1,S26,48.865311,2.343436,1,44 RUE ETIENNE MARCEL,Paris,75001,"CHAdeMO, E/F, Combo, T2, T3",6482.657729,5600.62052
S26-T2,S26,48.865311,2.343436,0,44 RUE ETIENNE MARCEL,Paris,75001,E/F,6482.657729,5600.62052
S26-T3,S26,48.865311,2.343436,1,44 RUE ETIENNE MARCEL,Paris,75001,"E/F, Combo, CHAdeMO, T2, T3",6482.657729,5600.62052
S27-T1,S27,48.86003,2.34046,1,1 RUE DE L'AMIRAL DE COLIGNY,Paris,75001,"T2, CHAdeMO, E/F, Combo, T3",6264.50687,5012.7396
S27-T2,S27,48.86003,2.34046,0,1 RUE DE L'AMIRAL DE COLIGNY,Paris,75001,E/F,6264.50687,5012.7396
S27-T3,S27,48.86003,2.34046,1,1 RUE DE L'AMIRAL DE COLIGNY,Paris,75001,"Combo, T2, T3, CHAdeMO, E/F",6264.50687,5012.7396
S28-T1,S28,48.864719,2.359043,1,5 RUE DE REAUMUR,Paris,75003,"CHAdeMO, T2, Combo, E/F, T3",7626.703584,5534.71908
S28-T2,S28,48.864719,2.359043,1,5 RUE DE REAUMUR,Paris,75003,E/F,7626.703584,5534.71908
S28-T3,S28,48.864719,2.359043,0,5 RUE DE REAUMUR,Paris,75003,"E/F, T3, CHAdeMO, Combo, T2",7626.703584,5534.71908
S29-T1,S29,48.854057,2.34556,1,4 QUAI DU MARCHE NEUF,Paris,75004,"CHAdeMO, T3, E/F, Combo, T2",6638.354109,4347.82524
S29-T2,S29,48.854057,2.34556,1,4 QUAI DU MARCHE NEUF,Paris,75004,E/F,6638.354109,4347.82524
S29-T3,S29,48.854057,2.34556,1,4 QUAI DU MARCHE NEUF,Paris,75004,"E/F, T3, T2, CHAdeMO, Combo",6638.354109,4347.82524
S3-T1,S3,48.876162,2.286403,1,77 AVENUE DE LA GRANDE ARMEE,Paris,75016,"Combo, E/F, CHAdeMO, T2, T3",2301.946048,6808.55384
S3-T2,S3,48.876162,2.286403,1,77 AVENUE DE LA GRANDE ARMEE,Paris,75016,E/F,2301.946048,6808.55384
S3-T3,S3,48.876162,2.286403,1,77 AVENUE DE LA GRANDE ARMEE,Paris,75016,"T3, Combo, E/F, CHAdeMO, T2",2301.946048,6808.55384
S30-T1,S30,48.845715,2.345032,1,17 PLACE DU PANTHEON,Paris,75005,"Combo, CHAdeMO, T2, T3, E/F",6599.649924,3419.1938
S30-T2,S30,48.845715,2.345032,1,17 PLACE DU PANTHEON,Paris,75005,E/F,6599.649924,3419.1938
S30-T3,S30,48.845715,2.345032,1,17 PLACE DU PANTHEON,Paris,75005,"T2, E/F, T3, Combo, CHAdeMO",6599.649924,3419.1938
S31-T1,S31,48.85104,2.345493,0,32 RUE SAINT JACQUES,Paris,75005,"E/F, T3, Combo, CHAdeMO, T2",6633.442782,4011.9728
